source,target,value
Danelle,Elaida,2
Elaida,Alviarin,116
Elaida,Teslyn,12
Elaida,Davram,1
Elaida,Tenobia,3
Elaida,Javindhra,6
Elaida,Pedron,16
Elaida,Amathera,5
Elaida,Mist,1
Elaida,Two,13
Elaida,Bonwhin,28
Elaida,Joline,8
Elaida,Mother,3
Elaida,Moiraine,60
Elaida,Elayne,55
Elaida,Silviana,5
Elaida,Morgase,32
Elaida,Alteima,5
Elaida,Siuan,115
Elaida,Sheriam,24
Elaida,Nynaeve,84
Elaida,Egwene,50
Elaida,Rand,65
Elaida,Moghedien,11
Elaida,Gawyn,5
Elaida,Verine,3
Elaida,Enaila,6
Elaida,Min,7
Elaida,Morvrin,5
Elaida,Carlinya,12
Elaida,Logain,17
Elaida,Mazrim,11
Elaida,Anaiya,14
Elaida,Myrelle,11
Elaida,Arinvar,5
Elaida,Nuhel,7
Elaida,Berelain,6
Elaida,Birgitte,8
Elaida,Masema,3
Elaida,Shemerin,7
Elaida,Gareth,6
Elaida,Juilin,3
Elaida,Aviendha,6
Elaida,Rahvin,14
Elaida,Ilyena,11
Alviarin,Tenobia,3
Alviarin,Elayne,5
Alviarin,Javindhra,2
Alviarin,Morgase,4
Alviarin,Teslyn,3
Alviarin,Shemerin,2
Alviarin,Silviana,4
Alviarin,Siuan,1
Alviarin,Moiraine,13
Alviarin,Egwene,4
Alviarin,Aviendha,5
Alviarin,Verin,11
Alviarin,Lan,6
Teslyn,Mazrim,1
Teslyn,Joline,5
Mazrim,Davram,2
Mazrim,Elayne,10
Mazrim,Mother,1
Mazrim,Min,4
Mazrim,Faolain,5
Mazrim,Rand,9
Davram,Tenobia,6
Davram,Memara,2
Davram,Agelmar,6
Davram,Pedron,12
Davram,Elayne,2
Davram,Enaila,1
Davram,Rand,3
Tenobia,Joline,5
Tenobia,Memara,6
Tenobia,Pedron,3
Tenobia,Rand,4
Tenobia,Sammael,2
Joline,Morgase,4
Joline,Nynaeve,5
Joline,Egwene,6
Javindhra,Morgase,10
Pedron,Nynaeve,3
Pedron,Elayne,22
Pedron,Egwene,7
Pedron,Rand,6
Pedron,Galad,1
Pedron,Morgase,4
Pedron,Gareth,3
Amathera,Elayne,7
Amathera,Nynaeve,29
Amathera,Juilin,6
Amathera,Andric,6
Amathera,Berelain,6
Amathera,Liandrin,6
Amathera,Lan,5
Amathera,Ronde,6
Mist,Rand,21
Mist,Egwene,40
Mist,Aviendha,20
Mist,Isendre,5
Mist,Moiraine,11
Mist,Two,15
Mist,Rhuarc,2
Mist,Couladin,5
Mist,Siuan,8
Mist,Sorilea,13
Mist,Sulin,6
Three,Two,2
Three,Mara,4
Three,Egwene,1
Three,Elayne,17
Three,Rand,20
Three,Nynaeve,21
Three,Barim,4
Three,Aludra,5
Three,Birgitte,6
Three,Melanril,4
Three,Nicola,5
Three,Siuan,5
Three,Myrelle,5
Three,Anaiya,11
Three,Morvrin,3
Three,Moiraine,3
Three,Enaila,5
Two,Rahvin,8
Two,Lanfear,5
Two,Min,7
Two,Gareth,4
Two,Hadnan,3
Two,Lan,14
Two,Rand,29
Two,Aviendha,9
Two,Morgase,15
Two,Nynaeve,74
Two,Moiraine,16
Two,Elayne,49
Two,Liandrin,8
Two,Widow,2
Two,Ronde,4
Two,Bonwhin,3
Two,Siuan,18
Two,Lady,7
Two,Birgitte,19
Two,Melaine,8
Two,Galad,9
Two,Mother,5
Two,Juilin,21
Two,Egwene,31
Two,Asmodean,4
Two,Logain,15
Two,Leane,7
Two,Myrelle,7
Two,Beonin,3
Two,Thom,10
Two,Moghedien,4
Two,Masema,12
Two,Ragan,4
Two,Weiramon,11
Two,Jol,1
Two,Mat,5
Two,Couladin,14
Two,Faile,6
Two,Pips,5
Two,Melanril,11
Two,Meilan,8
Two,Clarine,5
Two,Muelin,6
Two,Petra,5
Two,Quick,1
Two,Amys,5
Two,Anaiya,4
Two,Faolain,6
Two,Lini,1
Two,Cian,2
Two,Cerandin,2
Elayne,Andaya,5
Elayne,Morgase,42
Elayne,Alteima,4
Elayne,Egwene,513
Elayne,Nynaeve,2259
Elayne,Moiraine,55
Elayne,Ilyena,5
Elayne,Rand,134
Elayne,Melaine,15
Elayne,Aviendha,77
Elayne,Min,54
Elayne,Amys,23
