source,target,value
Three,Winter,2
Three,Seaine,6
Three,Yukiri,6
Three,Birgitte,4
Three,Elaida,6
Three,Springhorn,6
Three,Berelain,3
Three,Masema,1
Three,Lini,5
Three,Maighdin,5
Three,Briain,5
Three,Perrin,4
Three,Sulin,5
Three,Nynaeve,7
Three,Elayne,5
Three,Zaida,5
Three,Selucia,3
Three,Setalle,1
Three,Mat,5
Three,Edesina,5
Three,Rand,9
Winter,Elayne,10
Winter,Tenobia,3
Seaine,Ferane,4
Seaine,Yukiri,7
Seaine,Saerin,12
Seaine,Pevara,20
Seaine,Talene,65
Seaine,Elayne,3
Ferane,Jesse,6
Ferane,Suana,14
Jesse,Suana,5
Pevara,Saerin,46
Pevara,Yukiri,28
Pevara,Talene,39
Pevara,Elaida,5
Pevara,Zerah,5
Saerin,Yukiri,17
Saerin,Doesine,9
Saerin,Talene,47
Saerin,Elaida,18
Saerin,Zerah,10
Yukiri,Talene,57
Yukiri,Zerah,6
Talene,Doesine,20
Talene,Elaida,25
Talene,Zerah,18
Talene,Bernaile,6
Elaida,Birgitte,4
Elaida,Toveine,27
Elaida,Elayne,49
Elaida,Nynaeve,7
Elaida,Logain,4
Elaida,Gabrelle,2
Elaida,Ayako,4
Elaida,Egwene,61
Elaida,Two,4
Elaida,Sareitha,14
Elaida,Ronde,5
Elaida,Zaida,5
Elaida,Rand,21
Elaida,Kin,6
Elaida,Mat,10
Elaida,Cadsuane,4
Elaida,Verin,4
Elaida,Teslyn,8
Elaida,Joline,1
Elaida,Aviendha,3
Elaida,Alanna,5
Elaida,Ethenielle,4
Zerah,Bernaile,2
Elayne,Vandene,101
Elayne,Egwene,150
Elayne,Birgitte,393
Elayne,Dyelin,198
Elayne,Half,3
Elayne,Luan,6
Elayne,Abelle,2
Elayne,Reene,63
Elayne,Renaile,32
Elayne,Nesta,4
Elayne,Merilille,174
Elayne,Zaida,48
Elayne,Rand,151
Elayne,Nynaeve,408
Elayne,Two,29
Elayne,Aviendha,513
Elayne,Melaine,17
Elayne,Bael,5
Elayne,Monaelle,90
Elayne,Viendre,44
Elayne,Amys,14
Elayne,Tamela,9
Elayne,Toveine,9
Elayne,Faile,3
Elayne,Ned,3
Elayne,Caseille,34
Elayne,Sareitha,54
Elayne,Ronde,6
Elayne,Halwin,17
Elayne,Tzigan,7
Elayne,Fireheart,34
Elayne,Elenia,3
Elayne,Venr,3
Elayne,Careane,5
Elayne,Lady,18
Elayne,Naean,5
Elayne,Kirstian,20
Elayne,Lan,33
Elayne,Kin,16
Elayne,Zarya,3
Elayne,Reanne,70
Elayne,Alise,18
Elayne,Alivia,10
Elayne,Lemore,5
Elayne,Marli,2
Elayne,Roedran,5
Elayne,Lini,6
Elayne,Doilin,8
Elayne,Temaile,4
Elayne,Min,56
Elayne,Deni,8
Elayne,Alanna,19
Elayne,Talmanes,5
Elayne,Joline,3
Elayne,Toram,2
Elayne,Rafela,3
Elayne,Moiraine,5
Elayne,Siuan,3
Elayne,Mistress,2
Elayne,Ester,4
Elayne,Morgase,4
Elayne,Kayen,13
Elayne,Gareth,11
Elayne,Tenobia,35
Elayne,Paitar,18
Elayne,Ethenielle,38
Elayne,Egeanin,2
Elayne,Juilin,12
Nynaeve,Vandene,80
Nynaeve,Reanne,55
Nynaeve,Birgitte,77
Nynaeve,Viendre,5
Nynaeve,Amys,4
Nynaeve,Toveine,5
Nynaeve,Nevarin,3
Nynaeve,Perrin,10
Nynaeve,Sareitha,12
Nynaeve,Lan,261
Nynaeve,Kin,67
Nynaeve,Zarya,4
Nynaeve,Alise,17
Nynaeve,Egwene,108
Nynaeve,Two,18
Nynaeve,Alivia,144
Nynaeve,Dyelin,5
Nynaeve,Aviendha,45
Nynaeve,Ronde,6
Nynaeve,Caseille,5
Nynaeve,Theodrin,1
Nynaeve,Sharina,8
Nynaeve,Rand,148
Nynaeve,Chesmal,2
Nynaeve,Moghedien,16
Nynaeve,Temaile,4
Nynaeve,Min,89
Nynaeve,Mat,30
Nynaeve,Talaan,133
Nynaeve,Senine,17
Nynaeve,Zaida,86
Nynaeve,Merilille,16
Nynaeve,Renaile,4
Nynaeve,Tebreille,7
Nynaeve,Kurin,5
Nynaeve,Cenn,5
Nynaeve,Lini,5
Nynaeve,Cadsuane,140
Nynaeve,Tylin,5
Nynaeve,Joline,5
Nynaeve,Egeanin,3
Nynaeve,Juilin,10
Nynaeve,Peral,4
Nynaeve,Verin,12
Nynaeve,Mistress,2
Nynaeve,Zeram,12
Nynaeve,Aleis,15
Nynaeve,Merise,5
Nynaeve,Corele,5
Nynaeve,Elza,10
Nynaeve,Jahar,5
Vandene,Kin,19
Vandene,Egwene,9
Vandene,Zaida,1
Vandene,Careane,16
Vandene,Zarya,17
Vandene,Kirstian,30
Vandene,Ispan,19
Vandene,Lan,9
Vandene,Merilille,4
Vandene,Sereille,4
Vandene,Reanne,4
Vandene,Rand,12
Vandene,Birgitte,16
Reanne,Kin,15
Reanne,Egwene,15
Reanne,Alise,33
Reanne,Marli,6
Reanne,Lan,18
Reanne,Jillari,5
Reanne,Alivia,4
Reanne,Kara,5
Reanne,Lemore,4
Reanne,Aloisia,10
Reanne,Famelle,6
Reanne,Merilille,20
Reanne,Aviendha,4
Reanne,Birgitte,5
Kin,Aviendha,11
Kin,Maryl,3
Kin,Zarya,6
Kin,Ispan,6
Kin,Alise,6
Kin,Sumeko,2
Kin,Egwene,13
Kin,Marli,1
Kin,Rand,1
Egwene,Dyelin,18
Egwene,Melaine,8
Egwene,Two,5
Egwene,Sareitha,5
Egwene,Birgitte,6
Egwene,Lan,10
Egwene,Aviendha,10
Egwene,Luan,5
Egwene,Roedran,3
Egwene,Rand,38
Egwene,Faolain,3
Egwene,Aloisia,7
Egwene,Merilille,7
Egwene,Zaida,5
Egwene,Talaan,3
Egwene,Mat,6
Egwene,Talmanes,6
Egwene,Cadsuane,3
Egwene,Moiraine,2
Egwene,Siuan,5
Egwene,Gareth,10
Egwene,Lini,5
Egwene,Reene,3
Egwene,Arathelle,6
Birgitte,Dyelin,79
Birgitte,Mat,7
Birgitte,Nasin,4
Birgitte,Gawyn,6
Birgitte,Lini,9
Birgitte,Rand,14
Birgitte,Renaile,2
Birgitte,Merilille,26
Birgitte,Sareitha,45
Birgitte,Deni,10
Birgitte,Caseille,26
Birgitte,Ishara,11
Birgitte,Elenia,1
Birgitte,Naean,13
Birgitte,Aviendha,127
Birgitte,Careane,4
Birgitte,Fireheart,10
Birgitte,Ned,5
Birgitte,Reene,4
Birgitte,Doilin,16
Birgitte,Lan,5
Birgitte,Min,28
Birgitte,Lady,5
Birgitte,Arrow,9
Birgitte,Kayen,10
Birgitte,Gholam,4
Dyelin,Half,4
Dyelin,Gareth,2
Dyelin,Nasin,4
Dyelin,Rand,4
Dyelin,Jarid,6
Dyelin,Lini,6
Dyelin,Zaida,12
Dyelin,Merilille,11
Dyelin,Renaile,3
Dyelin,Mazrim,1
Dyelin,Aviendha,10
Dyelin,Tormon,3
Dyelin,Two,2
Dyelin,Elenia,5
Dyelin,Reene,6
Dyelin,Luan,6
Dyelin,Tenobia,4
Half,Rolan,14
Half,Masema,3
Mat,Rand,16
Mat,Min,5
Mat,Vanin,37
Mat,Beslan,68
Mat,Thom,1
Mat,Jameine,6
Mat,Tylin,58
Mat,Two,5
Mat,Noal,43
Mat,Surlivan,12
Mat,Gorderan,5
Mat,Harnan,23
Mat,Juilin,42
Mat,Tuon,5
Mat,Anath,11
Mat,Aludra,2
Mat,Setalle,4
Mat,Nerim,2
Mat,Marah,4
Mat,Enid,37
Mat,Joline,48
Mat,Egeanin,15
Mat,Bayle,6
Mat,Teslyn,14
Mat,Pips,24
Mat,Narvin,5
Mat,Riselle,12
Mat,Blaeric,6
Mat,Pura,1
Mat,Jasfer,1
Mat,Edesina,1
Mat,Wildfire,3
Mat,Seta,5
Mat,Renna,5
Mat,Nestelle,11
Mat,Lady,5
Mat,Selucia,6
Gareth,Fireheart,3
Gareth,Careane,3
Gareth,Reene,6
Gareth,Lady,5
Gareth,Tenobia,4
Gareth,Aviendha,4
Nasin,Naean,9
Naean,Elenia,79
Naean,Jarid,6
Naean,Halwin,5
Naean,Lini,3
Elenia,Jarid,24
Elenia,Fireheart,3
Elenia,Sareitha,2
Elenia,Rahvin,3
Elenia,Kirstian,6
