source,target,value
Ilyena,Lews,3
Lews,Rand,3
Lews,Moiraine,5
Mist,Two,18
Mist,Rand,17
Mist,Tam,4
Mist,Lan,4
Two,Rand,234
Two,Tam,92
Two,Mat,21
Two,Bela,2
Two,Cenn,14
Two,Creator,4
Two,Ewin,6
Two,Mistress,4
Two,Moiraine,77
Two,Winter,7
Two,Wit,1
Two,Perrin,1
Two,Egwene,43
Two,Ewal,5
Two,Thom,9
Two,Nynaeve,19
Two,Lan,72
Two,Padan,4
Two,Hari,3
Two,Darl,1
Two,Sara,5
Two,Jon,4
Two,Logain,5
Two,Bartim,4
Two,Aram,5
Two,Three,16
Two,Dapple,8
Two,Elayne,5
Two,Morgase,15
Two,Elaida,17
Two,Gareth,9
Two,Gawyn,9
Two,Aldieb,5
Two,Agelmar,10
Two,Dara,6
Tam,Winter,6
Tam,Bela,90
Tam,Rand,525
Tam,Egwene,32
Tam,Cenn,55
Tam,Wit,15
Tam,Nynaeve,68
Tam,Daise,6
Tam,Bran,26
Tam,Mat,30
Tam,Matrim,19
Tam,Ewin,6
Tam,Tad,4
Tam,Hu,2
Tam,Thom,12
Tam,Haral,19
Tam,Oren,7
Tam,Kari,14
Tam,Three,11
Tam,Laman,11
Tam,Alsbet,1
Tam,Lan,54
Tam,Moiraine,92
Tam,Half,8
Tam,Marin,12
Tam,Mutch,2
Tam,Mandarb,2
Tam,Mordeth,8
Tam,Bayle,3
Tam,Bartim,4
Tam,Min,5
Tam,Loial,8
Tam,Elaida,9
Winter,Rand,4
Bela,Rand,82
Bela,Wit,6
Bela,Hu,12
Bela,Egwene,265
Bela,Lan,30
Bela,Moiraine,52
Bela,Nynaeve,41
Bela,Thom,12
Bela,Mat,12
Bela,Elyas,44
Bela,Perrin,6
Bela,Cenn,1
Bela,Raen,11
Bela,Dapple,1
Bela,Mandarb,14
Bela,Matrim,4
Bela,Eldrene,5
Rand,Egwene,397
Rand,Cenn,24
Rand,Mat,606
Rand,Creator,4
Rand,Aginor,46
Rand,Elam,2
Rand,Alsbet,2
Rand,Three,26
Rand,Nynaeve,288
Rand,Ewin,22
Rand,Mistress,13
Rand,Moiraine,510
Rand,Padan,33
Rand,Perrin,54
Rand,Half,16
Rand,Haral,8
Rand,Wit,4
Rand,Thom,78
Rand,Lan,543
Rand,Tad,5
Rand,Lem,8
Rand,Kari,8
Rand,Bran,11
Rand,Darl,11
Rand,Marin,10
Rand,Hari,2
Rand,Aemon,2
Rand,Jon,13
Rand,Aldieb,16
Rand,Ara,26
Rand,Logain,73
Rand,Mutch,3
Rand,Samel,6
Rand,Eward,3
Rand,Guaire,4
Rand,Raolin,6
Rand,Min,14
Rand,Mandarb,25
Rand,Mordeth,60
Rand,Floran,15
Rand,Bayle,10
Rand,Bartim,18
Rand,Elyas,4
Rand,Master,11
Rand,Saml,5
Rand,Jak,31
Rand,Strom,12
Rand,Howal,5
Rand,Alpert,9
Rand,Rulan,9
Rand,Narg,4
Rand,Mother,7
Rand,Basel,8
Rand,Elaida,58
Rand,Halan,4
Rand,Loial,134
Rand,Artur,6
Rand,Hyam,5
Rand,Lamgwin,25
Rand,Elayne,92
Rand,Gawyn,57
Rand,Gareth,25
Rand,Galad,10
Rand,Galadedrid,5
Rand,Morgase,22
Rand,Lady,11
Rand,Gilda,20
Rand,Yurian,3
Rand,Ramey,5
Rand,Dara,32
Rand,Agelmar,50
Rand,Ingtar,8
Rand,Balthamel,6
Mat,Perrin,15
Mat,Cenn,17
Mat,Nynaeve,65
Mat,Ewin,7
Mat,Samel,3
Mat,Moiraine,123
