source,target,value
Renald,Thulin,198
Renald,Gallanha,17
Renald,Auaine,26
Renald,Favidan,2
Renald,Adamad,5
Renald,Geleni,6
Renald,Veshir,43
Thulin,Mirala,11
Thulin,Gallanha,11
Thulin,Auaine,17
Thulin,Veshir,1
Favidan,Rinnin,6
Rinnin,Veshir,6
Veshir,Adamad,6
Falendre,Miri,3
Falendre,Nenci,14
Falendre,Nynaeve,11
Falendre,Tabi,9
Falendre,Anath,11
Falendre,Semirhage,4
Falendre,Malian,8
Falendre,Tuon,5
Falendre,Matrim,10
Miri,Nenci,5
Cadsuane,Rand,279
Cadsuane,Nynaeve,448
Cadsuane,Semirhage,245
Cadsuane,Alivia,21
Cadsuane,Elaida,1
Cadsuane,Corele,84
Cadsuane,Graendal,22
Cadsuane,Erian,4
Cadsuane,Merise,12
Cadsuane,Lan,9
Cadsuane,Bael,3
Cadsuane,Aviendha,6
Cadsuane,Alsalam,9
Cadsuane,Sorilea,158
Cadsuane,Daigian,21
Cadsuane,Sarene,93
Cadsuane,Elza,9
Cadsuane,Min,97
Cadsuane,Nesune,3
Cadsuane,Gawyn,1
Cadsuane,Moiraine,15
Cadsuane,Jendhilin,4
Cadsuane,Quillin,42
Cadsuane,Namine,6
Cadsuane,Lady,4
Cadsuane,Dobraine,4
Cadsuane,Two,6
Cadsuane,Melaine,6
Cadsuane,Amys,6
Cadsuane,Egwene,11
Cadsuane,Tam,91
Cadsuane,Creator,6
Cadsuane,Beldeine,32
Cadsuane,Darlin,7
Rand,Min,135
Rand,Semirhage,110
Rand,Algarin,4
Rand,Rhuarc,105
Rand,Ilyena,17
Rand,Lews,4
Rand,Asmodean,10
Rand,Naeff,69
Rand,Tellaen,18
Rand,Rodel,16
Rand,Graendal,63
Rand,Nynaeve,746
Rand,Egwene,62
Rand,Elaida,34
Rand,Siuan,19
Rand,Elayne,30
Rand,Aviendha,44
Rand,Elza,22
Rand,Damer,11
Rand,Ishamael,24
Rand,Mat,71
Rand,Darlin,49
Rand,Harine,40
Rand,Logain,5
Rand,Jorlen,23
Rand,Corele,55
Rand,Moiraine,34
Rand,Daigian,15
Rand,Two,59
Rand,Bael,47
Rand,Cenn,5
Rand,Tam,274
Rand,Faile,3
Rand,Melaine,6
Rand,Timolan,4
Rand,Sorilea,1
Rand,Moridin,101
Rand,Herid,29
Rand,Ferane,6
Rand,Tesan,3
Rand,Tiana,4
Rand,Masema,8
Rand,Lan,90
Rand,Sammael,7
Rand,Deira,4
Rand,Mist,2
Rand,Janduin,17
Rand,Vanin,4
Rand,Lanfear,5
Rand,Dobraine,79
Rand,Alsalam,16
Rand,Milisair,35
Rand,Quillin,4
Rand,Nelavaire,5
Rand,Jalani,6
Rand,Ramshalan,39
Rand,Noreladim,5
Rand,Perrin,5
Rand,Haster,5
Rand,Loral,1
Rand,Triben,6
Rand,Jorgin,8
Rand,Kerb,42
Rand,Moghedien,7
Rand,Tuon,3
Rand,Leilwin,5
Rand,Verin,7
Rand,Nerilea,6
Rand,Callswell,2
Rand,Birlen,5
Rand,Iralin,12
Rand,Tenobia,12
Rand,Weiramon,13
Rand,Simaan,3
Rand,Tedosian,6
Rand,Alanna,4
Rand,Moonlight,10
Rand,Hurin,6
Rand,Sajius,3
Rand,Beldeine,6
Nynaeve,Malian,4
Nynaeve,Surya,4
Nynaeve,Alivia,27
Nynaeve,Egwene,75
Nynaeve,Ilyena,6
Nynaeve,Semirhage,16
Nynaeve,Elayne,12
Nynaeve,Daigian,175
Nynaeve,Lan,106
Nynaeve,Corele,114
Nynaeve,White,2
Nynaeve,Matrim,6
Nynaeve,Aviendha,24
Nynaeve,Two,42
Nynaeve,Bael,9
Nynaeve,Moghedien,6
Nynaeve,Cenn,5
Nynaeve,Merise,5
Nynaeve,Rhuarc,23
Nynaeve,Suana,5
Nynaeve,Sorilea,23
Nynaeve,Talmanes,4
Nynaeve,Galad,2
Nynaeve,Perrin,2
Nynaeve,Damer,3
Nynaeve,Lady,26
Nynaeve,Moiraine,20
Nynaeve,Haster,6
Nynaeve,Milisair,63
Nynaeve,Loral,78
Nynaeve,Triben,100
Nynaeve,Lurts,5
Nynaeve,Jorgin,44
Nynaeve,Kerb,59
Nynaeve,Min,82
Nynaeve,Graendal,16
Nynaeve,Tam,59
Nynaeve,Ishamael,2
Nynaeve,Verin,11
Nynaeve,Tuon,4
Nynaeve,Rahvin,4
Nynaeve,Ramshalan,46
Nynaeve,Naeff,17
Nynaeve,Moonlight,23
Nynaeve,Mat,15
Nynaeve,Three,7
Nynaeve,Bela,2
Nynaeve,Beldeine,14
Tabi,Malian,6
Tabi,Surya,6
Anath,Tuon,6
Semirhage,Graendal,31
