source,target,value
Alsalam,Artur,8
Alsalam,Shimron,6
Alsalam,Jaalam,3
Alsalam,Rajabi,2
Alsalam,Rodel,4
Artur,Wakeda,3
Artur,Dyelin,5
Artur,Conail,5
Artur,Birgitte,6
Artur,Perival,5
Artur,Bonwhin,6
Artur,Edarna,5
Donjel,Tamsin,2
Tamsin,Jaalam,4
Jaalam,Osana,3
Jaalam,Rodel,5
Jaalam,Shimron,6
Shimron,Rodel,6
Shimron,Wakeda,11
Shimron,Rajabi,7
Ankaer,Wakeda,6
Wakeda,Rajabi,3
Galadedrid,Morgase,3
Morgase,Tigraine,5
Morgase,Naean,3
Morgase,Lir,6
Morgase,Ellorien,5
Morgase,Arathelle,4
Gabrelle,Logain,46
Gabrelle,Toveine,96
Gabrelle,Mazrim,5
Gabrelle,Cadsuane,4
Logain,Toveine,37
Logain,Lemai,3
Logain,Atal,9
Logain,Mazrim,6
Logain,Yukiri,5
Logain,Meidani,6
Logain,Pevara,3
Logain,Samitsu,4
Logain,Karldin,5
Logain,Davram,8
Logain,Cadsuane,8
Logain,Rand,20
Logain,Alivia,3
Logain,Egwene,2
Logain,Two,5
Logain,Kairen,4
Logain,Mother,6
Toveine,Desandre,4
Toveine,Lemai,11
Toveine,Elaida,4
Toveine,Alviarin,2
Toveine,Tarna,10
Toveine,Pevara,7
Toveine,Daigian,4
Toveine,Cadsuane,5
Desandre,Lemai,6
Mazrim,Egwene,5
Yukiri,Meidani,112
Yukiri,Saerin,32
Yukiri,Marris,12
Yukiri,Elin,5
Yukiri,Elaida,28
Yukiri,Silviana,9
Yukiri,Pritalle,8
Yukiri,Atuan,22
Yukiri,Talene,11
Yukiri,Galina,5
Yukiri,Temaile,6
Yukiri,Doesine,14
Yukiri,Leonin,6
Yukiri,Alviarin,3
Yukiri,Pevara,3
Yukiri,Seaine,58
Yukiri,Bernaile,15
Yukiri,Andaya,14
Yukiri,Rina,5
Yukiri,Shevan,4
Yukiri,Two,3
Coiren,Elaida,6
Elaida,Meidani,11
Elaida,Silviana,16
Elaida,Atuan,5
Elaida,Siuan,61
Elaida,Alviarin,125
Elaida,Talene,35
Elaida,Saerin,6
Elaida,Pevara,24
Elaida,Gawyn,15
Elaida,Elayne,16
Elaida,Rajar,3
Elaida,Narenwin,5
Elaida,Katerine,7
Elaida,Tarna,18
Elaida,Egwene,170
