source,target,value
Ethenielle,Serailla,24
Ethenielle,Baldhere,11
Ethenielle,Nianh,5
Ethenielle,Kirukan,3
Ethenielle,Paitar,49
Ethenielle,Agelmar,3
Ethenielle,Kalyan,23
Ethenielle,Tenobia,52
Ethenielle,Davram,11
Ethenielle,Coladara,13
Ethenielle,Kiruna,10
Serailla,Baldhere,25
Serailla,Easar,6
Serailla,Paitar,5
Serailla,Coladara,5
Baldhere,Paitar,9
Nianh,Kirukan,3
Paitar,Agelmar,10
Paitar,Easar,12
Paitar,Tenobia,10
Paitar,Coladara,6
Agelmar,Easar,6
Easar,Tenobia,6
Kalyan,Tenobia,14
Tenobia,Davram,9
Tenobia,Memara,3
Tenobia,Elaida,6
Tenobia,Coladara,4
Davram,Rand,2
Kiruna,Sorilea,17
Kiruna,Verin,5
Kiruna,Beldeine,7
Kiruna,Alanna,18
Kiruna,Chaelin,4
Kiruna,Cadsuane,46
Kiruna,Rand,5
Kiruna,Elza,1
Memara,Elaida,4
Elaida,Verin,1
Elaida,Beldeine,4
Elaida,Joline,4
Elaida,Nynaeve,11
Elaida,Elayne,7
Elaida,Lan,5
Elaida,Siuan,31
Elaida,Moiraine,6
Elaida,Logain,26
Elaida,Egwene,44
Elaida,Gareth,9
Elaida,Romanda,27
Elaida,Arathelle,26
Elaida,Sheriam,18
Elaida,Lelaine,9
Elaida,Aledrin,3
Elaida,Moria,4
Elaida,Faiselle,3
Elaida,Rand,6
Elaida,Duhara,11
Elaida,Cemaile,11
Elaida,Velina,15
Elaida,Andaya,6
Elaida,Shevan,3
Elaida,Silviana,24
Elaida,Alviarin,123
Elaida,Toveine,25
Elaida,Mother,5
Elaida,Mesaana,14
Elaida,Seaine,4
Elaida,Saerin,4
Elaida,Pevara,4
Elaida,Zerah,13
Elaida,Yukiri,7
Elaida,Dyelin,5
Elaida,Sarene,5
Elaida,Sorilea,2
Elaida,Sharina,4
Elaida,Daishar,6
Coiren,Verin,5
Coiren,Sarene,5
Verin,Sarene,11
Verin,Sorilea,5
Verin,Irgain,20
Verin,Rand,5
Verin,Cadsuane,2
Verin,Aeron,61
Verin,Tialin,34
Verin,Beldeine,103
Verin,Katerine,3
Verin,Coram,3
Sarene,Nesune,5
Sarene,Beldeine,16
Sarene,Rand,3
Sarene,Sorilea,5
Sarene,Elza,10
Sorilea,Two,3
Sorilea,Rand,52
Sorilea,Aeron,5
Sorilea,Amys,12
Sorilea,Elayne,7
Sorilea,Merilille,5
Sorilea,Alanna,28
Sorilea,Cadsuane,107
Sorilea,Chaelin,13
Sorilea,Daigian,5
Sorilea,Dobraine,4
Sorilea,Weiramon,4
Sorilea,Rhuarc,4
Sorilea,Elza,6
Sorilea,Min,9
Sorilea,Erian,3
Sorilea,Nesune,3
Sorilea,Fedwin,4
Two,Coram,5
Two,Aeron,1
Two,Tialin,4
Two,Beldeine,10
Two,Lan,4
Two,Pol,3
Two,Nynaeve,11
Two,Merilille,2
Two,Kirstian,4
Two,Aviendha,5
Two,Faile,30
Two,Berelain,19
Two,Maighdin,9
Two,Morgase,5
Two,Rand,11
Two,Perrin,8
Two,Arrela,4
Two,Lamgwin,10
Two,Lini,4
Two,Jondyn,6
Two,Jori,3
Two,Lady,6
Two,Havien,3
Two,Aram,4
Two,Sulin,5
Two,Gaul,9
Two,Elyas,7
Two,Masema,6
Two,Alliandre,3
Two,Therava,4
Two,Sevanna,6
Two,Sammael,6
Two,Egwene,13
Two,Siuan,8
Two,Chesa,5
Two,Cadsuane,5
Two,Duhara,5
Two,Shevan,6
Coram,Tomas,4
Coram,Katerine,6
Coram,Colinda,5
Katerine,Tialin,6
Katerine,Aeron,9
Irgain,Rand,9
Irgain,Beldeine,7
